# file = combined_matrix_1.dat

   67.9628   105.5798    36.1259  9890.6046    13.6304    -1.5808
    1.6000    11.1153     9.7050    13.6304  9896.9652    50.4305
   49.7402     6.8824    21.4309    -1.5808    50.4305  9964.4678


# file = combined_matrix_14.dat

83337.7431 27645.7148 27611.3362    20.2791    -9.8324     7.0794
27645.7148 83072.5725 27593.9890    48.0189    -1.1916     5.4024
27611.3362 27593.9890 82932.7400    40.6876    -6.1597    -1.1550
   20.2791    48.0189    40.6876 27673.9569    -0.6247    -1.5691
   -9.8324    -1.1916    -6.1597    -0.6247 27713.3723    19.1852
    7.0794     5.4024    -1.1550    -1.5691    19.1852 27749.5828


# file = combined_matrix_15.dat

30300.7761  8533.9040  8794.9416     7.6173   162.2138   154.2188
 8533.9040 30861.4150  8703.4548   -54.0579    14.4527   169.6701
 8794.9416  8703.4548 31382.7204   -80.6685   237.7116    20.9210
    7.6173   -54.0579   -80.6685 10821.3909    66.9355    49.8222
  162.2138    14.4527   237.7116    66.9355 10860.9025   -14.4351
  154.2188   169.6701    20.9210    49.8222   -14.4351 10554.3792


# file = combined_matrix_16.dat

49712.9810 15612.8656 15567.7428    -2.4137  1367.6625   -27.8511
15612.8656 59000.1670 16816.5997   -11.0958   704.4511   -41.5599
15567.7428 16816.5997 54390.7304   -12.1967  1497.8653   -16.9063
   -2.4137   -11.0958   -12.1967 19185.5239   -14.7491   808.5100
 1367.6625   704.4511  1497.8653   -14.7491 17260.5819    -5.8109
  -27.8511   -41.5599   -16.9063   808.5100    -5.8109 17660.4869


# file = combined_matrix_17.dat

83552.6814 27783.3933 27824.3420    -0.1583     0.3659   -17.0498
27783.3933 83404.5917 27786.7276     0.2873    -0.0651   -12.4064
27824.3420 27786.7276 83658.2291     0.6750     0.8874    -7.3109
   -0.1583     0.2873     0.6750 27840.4778    -6.9246     0.0770
    0.3659    -0.0651     0.8874    -6.9246 27879.2261    -0.1483
  -17.0498   -12.4064    -7.3109     0.0770    -0.1483 27825.8724


# file = combined_matrix_18.dat

55891.2687 14846.4134 15088.0091  -422.2664   328.1389   143.1605
14846.4134 48428.1186 14076.6168 -1131.6283     7.7222   161.4489
15088.0091 14076.6168 49608.3653 -1064.8452   276.5019   -41.5665
 -422.2664 -1131.6283 -1064.8452 15885.0113    -8.7908    26.5594
  328.1389     7.7222   276.5019    -8.7908 17345.8174  -526.2871
  143.1605   161.4489   -41.5665    26.5594  -526.2871 17207.8037


# file = combined_matrix_19.dat

25918.7845  7356.5601  7381.6642     5.6029    -7.5734    -8.4376
 7356.5601 26102.5311  7475.3812   -61.5480   -10.9744    -2.6656
 7381.6642  7475.3812 26663.4219  -150.4261   -10.8062     9.2872
    5.6029   -61.5480  -150.4261  9389.7162     4.3262   -10.0555
   -7.5734   -10.9744   -10.8062     4.3262  9287.2153    -8.8976
   -8.4376    -2.6656     9.2872   -10.0555    -8.8976  9215.6078


# file = combined_matrix_20.dat

41472.6670 12187.4617 11617.7960  -189.1454   795.4852  -667.6231
12187.4617 41638.9167 11338.9196  -221.7489   310.4128  -634.1303
11617.7960 11338.9196 39255.3703  -264.4836   744.6734  -167.3314
 -189.1454  -221.7489  -264.4836 13526.3293  -272.1126   367.7090
  795.4852   310.4128   744.6734  -272.1126 13793.7495  -188.9307
 -667.6231  -634.1303  -167.3314   367.7090  -188.9307 14597.6769


# file = combined_matrix_21.dat

59203.6698 16029.1023 17048.2773  -300.7816  -146.7496  -407.1886
16029.1023 51445.2952 15508.3212  -821.9255    34.3859  -298.2862
17048.2773 15508.3212 55482.9941  -923.9866  -107.4769   -47.6158
 -300.7816  -821.9255  -923.9866 17191.3142   -51.3538     9.3419
 -146.7496    34.3859  -107.4769   -51.3538 19371.0812  -369.4616
